Item,Project_element,Activity,Start,End
1,First_draft,Committee_Reads,2021-05-17,2021-06-07
2,First_draft,Committee_Comments,2021-06-07,2021-06-11
3,Address_Comments,Fix_Issues,2021-06-11,2021-06-25
4,Defense,Defense_Date,2021-06-25,2021-07-16
5,Submission,Done,2021-07-16,2021-08-01
